10 2ary/3ary Visual Posterior (BA18/19p)	11 2ary Auditory Posterior (BA21p)	12 Premotor Posterior (BA6p)	13 Premotor Precentral (BA6prc)	14 1ary Visual Posterior (BA17p)	15 1ary Motor (BA4)	16 1ary Auditory (BA41/42)	17 1ary Visual Anterior (BA17a)	18 1ary Somatosensory (BA3/1/2)	19 Posterior Middle Temporal (BA37-pMT)	2  Anterior Supramarginal (BA40a)	20 Posterior Fusiform (BA37m)	21 FEF Lateral (BA8)	22 Premotor Medial (BA6m)	23 Insular Anterior Cortex	24 Cingulate Posterior (BA23p)	25 Posterior Inferior Temporal (BA20p)	26 2ary Auditory, language (BA22a)	27 2ary/3ary Visual Anterior (BA18/19a)	28 2ary Auditory, Wernicke (BA22p)	29 Precuneus (BA7m)	3  Posterior Superior Parietal (BA7p)	30 Premotor Anterior Lateral (BA6a)	31 Supramarginal Posterior (BA40p)	32 Ventrolateral Prefrontal, Broca (BA44)	33 Anterior Inferior Temporal (BA20a)	34 Dorsolateral Prefrontal (BA9)	35 Dorsolateral Prefrontal Medial (BA9m)	36 FEF Medial (BA8m)	37 2ary Auditory Anterior (BA21a)	38 Anterior Prefrontal (BA10)	4  Anterior Superior Parietal (BA5/BA7a)	40 Cingulate Anterior (BA32g)	41 Angular (BA39)	42 Cingulate Subcallosal (BA25)	43 Temporopolar (BA38)	44 Dorsolateral Prefrontal (BA46)	45 Ventrolateral Prefrontal, Broca (BA45)	46 Prefrontal Medial (BA10m)	47 Cingulate Posterior (BA31)	48 Cingulate Anterior (BA24)	49 Cingulate Anterior (BA32)	5  Retrosplenial (BA29/30)	50 Orbitofrontal (BA11)	51 Piriform Cortex	52 Amygdala	53 Insular Posterior Cortex	54 Entorhinal Cortex	55 Hippocampus, CA3 / Dentate Gyrus	56 Nucleus Accumbens	57 Caudate	58 Putamen	6  Anterior Middle Temporal (BA37-aMT)	64 Globus Pallidus	65 Hippocampus, CA1	68 Medial Dorsal Thalamus	7  Orbitofrontal (BA47)	70 Ventral Lateral Thalamus	8  Cingulate Posterior (BA23a)
2  Anterior Supramarginal (BA40a)	2.88201313675989	6.22723389665894	1.63193894664857	1.56621253782723	3.05740660501819	2.16782863892744	2.20343556045159	2.91011201817986	2.16984808741521	2.52744941508679	0	2.88048866559953	5.80952079211032	1.99528878304295	3.15260915402715	3.49645613253236	3.96259488629737	3.94557674717887	2.91011201817986	3.56869253391077	4.61750956363077	1.41024137070866	0.861556961352866	5.24545954715943	2.06640484505337	3.73312344857979	6.11126587627831	5.82412627194735	3.32496119913106	5.83720795749727	5.97234486135007	1.35199177404071	6.02685433022662	4.4167120007223	6.02685433022662	4.026014179215	3.89672814483092	5.19889632559237	6.25832077472467	6.22033129224776	2.31425430929921	4.66424940195741	3.53746513209805	4.76660872613897	3.62177638513135	3.35411760546303	1.81733735044674	3.62177638513135	4.59875375028946	4.50835509473024	4.14076309870786	3.33085881215548	1.90768362711125	3.27805723578516	4.03609233888627	3.73801598138412	5.68254991160892	2.70520491693048	5.48514616227818
20 Posterior Fusiform (BA37m)	0.998139197480023	6.42096347670909	2.20115528078532	3.1567698436938	0.519295055556245	2.32549776576255	2.40224558525794	0.779398273437246	2.11050809753771	3.3516145445707	2.88048866559953	0	6.32554740844804	2.57618846060407	4.21225364382996	4.13493840088414	4.46254850669571	3.5834996646479	0.779398273437246	3.44072095425367	4.51394669652351	1.82057034980046	3.18256323196528	6.24390427249567	3.69311097275731	3.60213422976096	6.30691804900253	6.63721544721304	4.60072701218453	5.77736754816168	6.57093603205044	1.98506166664027	6.16833013649009	4.62736951295794	6.16833013649009	3.85970730945308	5.0909390181324	5.83440070535088	6.53586764193619	6.09563412567053	3.41932870275066	5.31483061285941	2.46388917933405	5.34342756126779	3.57162816756754	3.2950890602034	2.58042528654968	3.57162816756754	3.92930835766282	5.10919613164891	5.08093938994035	4.33146551402021	1.94869770830713	4.25561409188842	3.51916933510112	4.48541077116573	6.29000650589606	2.96912922134331	5.27836819352355
21 FEF Lateral (BA8)	5.75237180445106	0.820422225442278	6.33667530160927	4.30062472738232	6.25063101806017	5.47689518230924	6.15726664203962	6.48565272046801	5.6831088271653	3.70242958711283	5.80952079211032	6.32554740844804	0	6.25152399058324	3.62958086738446	3.34271984237937	2.02287309038133	3.94290634888917	6.48565272046801	4.11293494545432	2.6365412140599	5.9313931272194	5.50242184946953	1.46388006390109	4.56552222618896	3.21291659212163	1.27460435572809	1.36399966385906	3.57874199257685	1.80234638393592	0.697293330391137	5.5684386702517	1.70370456302333	1.83707058295678	1.70370456302333	3.37808971176147	2.40123727624982	1.68284242683252	1.38043544090774	1.52327092566384	4.38086678929028	2.7597120707572	4.38563520612199	1.39593102708394	3.53063001204719	3.70963211344117	5.94172019861094	3.53063001204719	3.30212105255326	2.49870981145727	2.42876498528511	3.57580364258407	5.07596145048221	3.54439262736054	3.39927083450591	2.75926742114339	1.28503033141431	4.054600197371	1.87963353346691
22 Premotor Medial (BA6m)	2.76394893427073	6.52660973927577	0.858747184777941	2.49774734375052	2.84623192370231	1.02223926353657	0.488535090720052	2.36343493014932	0.976614022025699	3.28486834235684	1.99528878304295	2.57618846060407	6.25152399058324	0	3.15685428927256	3.49494044668392	4.51816513339989	3.2977566640267	2.36343493014932	2.92995126216438	5.15992514132466	2.20028353452716	1.90827313141693	5.81497998469818	2.33110262985104	3.54590575765504	6.18687920057968	6.14433735769381	3.44141349800815	5.76198028476179	6.3892631074409	1.99137222768651	5.97155183944047	4.92712731880354	5.97155183944047	3.58981874275361	4.54438350775844	5.37079686061367	6.29583667743446	6.34497286814079	2.28976465525844	4.60277121929604	3.34128464939335	5.02634488564837	3.59298655233471	2.99455422887232	0.617338887834064	3.59298655233471	4.26705555852326	4.52140000343599	4.35896130210387	3.33281919395194	2.77647329063783	3.35297266385035	3.82037254351225	3.92738677118734	5.89007400401479	2.62683596335297	5.60953653781307
23 Insular Anterior Cortex	3.77836149681669	4.01429291657703	3.53127716954257	2.08297880534383	4.28445638804959	2.7796088308789	3.12358359352708	4.13348427265762	3.01505836855533	2.31043186802707	3.15260915402715	4.21225364382996	3.62958086738446	3.15685428927256	0	1.39971889754123	2.41029478753854	2.52348718357836	4.13348427265762	2.28506297817983	3.53605411291328	3.70196414001492	2.64923996593287	2.90071774811319	1.3515421468098	2.08397918664825	3.67153793142436	3.16287202174294	0.840425555319441	3.50050638961731	3.58407925889158	3.23959440618267	3.40354298460152	2.96415624154627	3.40354298460152	2.05367049191054	1.7826934491083	2.66318682786532	3.64168444787407	4.07803036695713	1.25604242227555	1.72678684612091	3.09297443293689	2.37944651103879	2.33449870575958	1.92596886840494	2.74642515853202	2.33449870575958	3.09180212685564	1.77367820086008	1.44510407108418	0.780680899668722	3.35774224188865	0.984559617722168	2.76218567201324	1.57291176743459	3.09766373308064	1.8934557322408	3.52815316752169
24 Cingulate Posterior (BA23p)	3.54897926335578	3.66623469989186	3.80579340472466	2.36510321201374	4.08869148947669	2.97126527463454	3.41301044265569	4.01623568417517	3.12569601668827	2.39520893089361	3.49645613253236	4.13493840088414	3.34271984237937	3.49494044668392	1.39971889754123	0	2.10296782014908	2.60812337193912	4.01623568417517	2.54880662412039	2.78033894187938	3.6751928423655	3.25793740368901	2.8766520370861	2.28865158473887	2.01893479067594	3.46657786317857	3.14105122817175	1.86810695928759	3.25452025670566	3.36633446760043	3.16626324065517	3.0030290178348	2.52010879255233	3.0030290178348	2.05121519476403	1.87231995637797	2.85405426252466	3.36262973476847	3.50326019454931	1.46943976601294	1.60889826324462	2.48874595092028	2.23500496667276	2.14252388815505	1.98835889738195	3.12938118042148	2.14252388815505	2.70133926927447	1.65902424729504	1.68564083660333	1.49098891678597	3.32885297402234	1.52885478189689	2.39958570751505	1.3283262735596	3.13415994633609	1.87671836513143	2.81795022487721
25 Posterior Inferior Temporal (BA20p)	3.91544173512737	2.3534715345669	4.51613288956532	2.5180161519563	4.39970725791128	3.76209296793165	4.42278683419937	4.63998436294318	3.93041038770419	1.91324552727567	3.96259488629737	4.46254850669571	2.02287309038133	4.51816513339989	2.41029478753854	2.10296782014908	0	2.78347478698208	4.63998436294318	2.83371985579496	1.66150016513544	3.98711519451806	3.75990584806459	2.07495023676598	3.04369432031541	1.8845732581702	2.49250737278566	2.52645197392795	2.54676631499007	2.39187155193046	2.28854139018933	3.64446300418609	2.56322006665465	0.75629166442437	2.56322006665465	2.28263140778567	1.58397184390127	2.10654411100145	2.67748503536816	2.44528345549328	2.79472797028407	2.40533307619839	2.77240960209406	1.35511643444281	2.12357502761007	2.27596706903743	4.19518832819886	2.12357502761007	2.34797186077921	2.01171195484656	1.81553521239601	2.41844281834521	3.13418994753332	2.33646059746183	2.13732788530085	1.65402336488797	2.30840260428783	2.39853818427569	1.91979025561759
26 2ary Auditory, language (BA22a)	3.41296075254485	3.92286984043565	3.48383635287539	2.90433704002423	3.70457923913756	2.43869223619802	3.06654361887571	3.72701333803599	2.6483655553791	2.60137483572789	3.94557674717887	3.5834996646479	3.94290634888917	3.2977566640267	2.52348718357836	2.60812337193912	2.78347478698208	0	3.72701333803599	0.649319225382397	3.57392525124245	3.84712926388512	3.56175745010513	4.03881504958477	2.86295107748621	1.21548414042399	3.42760506031634	4.06611730873129	2.76666309786753	2.83041513023794	4.14171698589253	3.53395776265218	3.46007163221249	2.92408965604697	3.46007163221249	1.01273341626375	3.44587222294245	3.00562798257153	3.6991586414912	3.70906024419133	2.75109371974557	3.1262864106962	2.56012061765398	2.85311103883856	2.16599934563606	1.11214315769083	3.15907354610665	2.16599934563606	1.6637366717807	2.83841563674588	2.87552014839867	2.62634382897305	3.25726338017252	2.65821901395451	1.65055549803645	2.64030228205638	3.47896033477292	2.11180549268659	3.24410792069716
27 2ary/3ary Visual Anterior (BA18/19a)	1.01559649968346	6.60648670244195	2.16231068832395	3.26133046086504	0.790388449523286	2.27058831421803	2.18737157649668	0	2.01994069697663	3.5928869147	2.91011201817986	0.779398273437246	6.48565272046801	2.36343493014932	4.13348427265762	4.01623568417517	4.63998436294318	3.72701333803599	0	3.57137194110356	4.6591109685577	1.94474912554299	3.2213406200189	6.33440711375523	3.66357111598239	3.759064786175	6.46748460100919	6.70038983369657	4.5621708174066	5.94874763753894	6.69723277938261	1.98592934216628	6.21092971815311	4.84442090015816	6.21092971815311	3.94646644077333	5.12197420766982	5.97648867599312	6.62571895614629	6.23884826308245	3.24327291836598	5.20400428405418	2.44352244243755	5.45578880242869	3.665191088679	3.39378177646347	2.36181053875621	3.665191088679	4.09515958254757	5.06689215716035	5.08390016218315	4.2527108069975	2.3392888470969	4.19072586019968	3.67975583819393	4.463598286075	6.41934728118655	2.97954018809569	5.38366640950544
28 2ary Auditory, Wernicke (BA22p)	3.2918969049842	4.16330721957139	3.13743874191094	2.60305190327104	3.59281963274342	2.12242609928442	2.71490265209788	3.57137194110356	2.36297590414526	2.37289848736202	3.56869253391077	3.44072095425367	4.11293494545432	2.92995126216438	2.28506297817983	2.54880662412039	2.83371985579496	0.649319225382397	3.57137194110356	0	3.75929916139415	3.59359846079067	3.13080661008726	4.04149494551555	2.43884525918413	1.36971313580967	3.68629880210291	4.14482954200536	2.47193067117071	3.16051702366685	4.29067033673099	3.29075551992818	3.74857701609414	3.08163745565624	3.74857701609414	1.2483131393056	3.34867034034763	3.06498285471695	3.96183999120669	4.04490540097366	2.48629771039	3.1525546198314	2.68307619067847	2.97881693490936	2.21315595251276	1.19467439542056	2.78729286553915	2.21315595251276	2.09721365700914	2.91040296437106	2.83832940839884	2.4483671888227	3.05333473063574	2.49073895510179	1.95091531828585	2.60025302793067	3.59849211608643	1.94912274298176	3.56060624842376
