x	y	group	order	col	x_cent	y_cent	x_poi	y_poi	num
2496.85	-670	1_r	1630	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2486.98	-704	1_r	1631	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2486.98	-704	1_r	1632	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2473.69	-746.73	1_r	1633	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2457.89	-788.74	1_r	1634	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2440.58	-830	1_r	1635	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2403.61	-918.1	1_r	1636	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2360.1	-1003.25	1_r	1637	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2324.6	-1092	1_r	1638	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2313.54	-1119.64	1_r	1639	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2302.86	-1147.56	1_r	1640	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2294.02	-1176	1_r	1641	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2282.73	-1212.34	1_r	1642	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2270.29	-1272.56	1_r	1643	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2262.6	-1311	1_r	1644	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2262.6	-1311	1_r	1645	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2229.6	-1477	1_r	1646	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2229.6	-1477	1_r	1647	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2214.96	-1550.2	1_r	1648	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2200.35	-1623.23	1_r	1649	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2183.65	-1696	1_r	1650	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2173.19	-1741.57	1_r	1651	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2156.84	-1805.99	1_r	1652	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
