10 2ary/3ary Visual Posterior (BA18/19p)	11 2ary Auditory Posterior (BA21p)	12 Premotor Posterior (BA6p)	13 Premotor Precentral (BA6prc)	14 1ary Visual Posterior (BA17p)	15 1ary Motor (BA4)	16 1ary Auditory (BA41/42)	17 1ary Visual Anterior (BA17a)	18 1ary Somatosensory (BA3/1/2)	19 Posterior Middle Temporal (BA37-pMT)	2  Anterior Supramarginal (BA40a)	20 Posterior Fusiform (BA37m)	21 FEF Lateral (BA8)	22 Premotor Medial (BA6m)	23 Insular Anterior Cortex	24 Cingulate Posterior (BA23p)	25 Posterior Inferior Temporal (BA20p)	26 2ary Auditory, language (BA22a)	27 2ary/3ary Visual Anterior (BA18/19a)	28 2ary Auditory, Wernicke (BA22p)	29 Precuneus (BA7m)	3  Posterior Superior Parietal (BA7p)	30 Premotor Anterior Lateral (BA6a)	31 Supramarginal Posterior (BA40p)	32 Ventrolateral Prefrontal, Broca (BA44)	33 Anterior Inferior Temporal (BA20a)	34 Dorsolateral Prefrontal (BA9)	35 Dorsolateral Prefrontal Medial (BA9m)	36 FEF Medial (BA8m)	37 2ary Auditory Anterior (BA21a)	38 Anterior Prefrontal (BA10)	4  Anterior Superior Parietal (BA5/BA7a)	40 Cingulate Anterior (BA32g)	41 Angular (BA39)	42 Cingulate Subcallosal (BA25)	43 Temporopolar (BA38)	44 Dorsolateral Prefrontal (BA46)	45 Ventrolateral Prefrontal, Broca (BA45)	46 Prefrontal Medial (BA10m)	47 Cingulate Posterior (BA31)	48 Cingulate Anterior (BA24)	49 Cingulate Anterior (BA32)	5  Retrosplenial (BA29/30)	50 Orbitofrontal (BA11)	51 Piriform Cortex	52 Amygdala	53 Insular Posterior Cortex	54 Entorhinal Cortex	55 Hippocampus, CA3 / Dentate Gyrus	56 Nucleus Accumbens	57 Caudate	58 Putamen	6  Anterior Middle Temporal (BA37-aMT)	64 Globus Pallidus	65 Hippocampus, CA1	68 Medial Dorsal Thalamus	7  Orbitofrontal (BA47)	70 Ventral Lateral Thalamus	8  Cingulate Posterior (BA23a)
2  Anterior Supramarginal (BA40a)	2.4993826824773	1.6776410738558	1.83341856952613	1.85627465286304	2.58246378794094	1.55126190329924	1.33752734919336	2.78119216140266	1.29936580800994	1.51871873273252	0	2.4123619598214	1.87667089569132	2.35445696622819	2.34454839950194	2.53287475329325	1.73475233799108	1.57244260692495	2.78119216140266	1.41332804553109	2.67274272149741	1.25316880659101	1.81471371722315	1.17427107411225	1.77526401312356	2.00454218294263	2.28578336730441	2.86188888642287	2.62493031348504	1.80098447377947	2.27130689891998	1.13280339763474	2.81528385920147	1.29337029191932	2.81528385920147	2.32368566596526	1.72493646723315	2.28575843162351	2.81199910088269	2.91747770096972	2.91969832416648	2.9400272722931	2.78167936133074	1.89128735537739	2.57415921403737	2.91423500262212	1.54205140021236	2.57415921403737	2.9557494208385	3.14224922174058	3.02044870947024	2.98498889671268	1.96321854684416	2.75132661897782	3.02065027876784	3.17779956917234	2.38061886135847	2.5522861538433	2.94603643676232
20 Posterior Fusiform (BA37m)	1.07461829484398	2.09745432048324	2.63978966509809	2.71292381063677	0.571839676547352	2.25493590632626	2.4274985927774	1.32752073294609	2.17957656619986	2.17578762465845	2.4123619598214	0	2.70227699533727	2.73060571265317	2.53149611203045	2.61771931853481	1.56174240686561	2.16356062615408	1.32752073294609	2.39701225092811	2.08479249558386	1.75454272362252	2.69947206568974	2.2997322154873	2.49247803058919	0.859548150308911	2.54037601437845	2.82342616440261	2.82150670547463	1.7684143596273	2.30515586366764	2.05575117738639	2.59035976729302	1.72868789846618	2.59035976729302	2.03380844979222	2.38294276370356	2.6013784521431	2.72093908620996	2.31316485891431	2.75598066144507	2.77672564757593	1.49000190110984	1.88726772108139	1.17782829350462	2.08249832156167	2.31986746856001	1.17782829350462	1.99107762949256	2.53312690742022	2.69020200063416	2.74854819296258	1.07486375910306	2.68796725410264	1.83930583041098	2.6168418758631	2.43124567758999	2.19734264205774	2.19978485967525
21 FEF Lateral (BA8)	2.78004165122735	2.36928436289556	1.07720754811413	0.717557491602894	2.84440177420672	1.57914346343085	2.28781068327242	3.0787247149071	1.73485115291691	2.11585752605843	1.87667089569132	2.70227699533727	0	2.01602432114341	2.68430105318331	2.57357973533335	2.27352209409723	2.46622358148008	3.0787247149071	2.36587875579895	2.99670420712605	2.10316200709502	1.02608779348338	2.3336750433668	1.60206290661457	2.43770346010091	1.86059993642817	2.64558044342052	2.21856535889737	2.45342021470578	2.22243515659139	1.80169941799018	2.7920966380663	2.09258802685022	2.7920966380663	2.83261361858273	0.98333594179069	2.31538857860992	2.66733127574602	3.14375599732138	2.88439181220295	2.862673893325	3.11044559351334	1.96777743136811	2.88744683151836	3.17686652889828	2.23197955816406	2.88744683151836	3.20399155745665	3.33390349535547	3.10963025703977	3.09970586167235	2.46259409010579	2.77585565777436	3.33331429530415	3.26561305977016	2.65431257012559	2.77710825265339	3.17777473006658
22 Premotor Medial (BA6m)	2.53597250359079	2.56549646966147	1.7477804482637	1.88199385815859	2.67671584024425	1.17887871557096	2.25052066151885	2.58588389205143	1.34647730411577	2.5913881997193	2.35445696622819	2.73060571265317	2.01602432114341	0	1.96677294583444	0.890916522112531	2.58454271282431	2.54480047354319	2.58588389205143	2.52886557232647	1.91646904918742	1.89845458252268	1.73501255002818	2.3608778165948	1.55402333844064	2.44344655683707	1.24769060996537	1.09819532901914	0.653557974098092	2.52124872704604	1.59846007555755	1.43593724417541	1.419794646871	2.27343952180099	1.419794646871	2.2159904802154	1.58592996848867	1.73836711766432	1.26713242250435	1.88750846338809	1.20310449931509	1.28161349630654	2.47685798613492	1.76525443860017	2.47015166218383	2.2635012603338	2.05813490867823	2.47015166218383	2.32285317969064	2.12936487644246	1.92065737419292	1.87635247554036	2.47969722993247	1.69105524088539	2.48507072560728	2.01237309733072	1.94168179720755	1.72227115139687	1.95345191974117
23 Insular Anterior Cortex	2.27217098830711	2.12506650881402	2.32300454770283	2.55516973870264	2.40851117331885	1.50533446209298	1.57676486427817	2.29285850591808	1.38385674136579	2.34454359705186	2.34454839950194	2.53149611203045	2.68430105318331	1.96677294583444	0	1.86884348899273	2.43988540504861	1.79938822150171	2.29285850591808	2.0536450669269	1.78983893265205	1.65826116636073	2.16853204476833	1.88146189640872	1.22453766557873	2.08106917758396	1.38104864316271	1.82874430693524	1.85115917123869	1.9189456430721	1.09195458787645	1.82469638348207	1.98787472863744	1.95157796746526	1.98787472863744	0.763531444887897	1.86778638371183	0.600353660631934	1.92063291689151	1.89092310891375	1.83205535023158	2.00710923696293	2.11651330942012	1.83519385224934	1.93417241765601	1.38159622835372	1.06354009548795	1.93417241765601	1.53728433154035	1.40421570811474	1.12877799421138	1.06328460367465	2.12350699151099	0.976627942955169	1.75391504438577	1.41862175953616	0.358565015978423	1.16783227811074	1.79787170357707
24 Cingulate Posterior (BA23p)	2.29442599412507	2.51947896210689	2.36662724899311	2.51351505404232	2.48464538710954	1.58784802543415	2.24510204714692	2.22029688913043	1.56444945484762	2.66087556632685	2.53287475329325	2.61771931853481	2.57357973533335	0.890916522112531	1.86884348899273	0	2.55113682485036	2.47806039851684	2.22029688913043	2.50523635202139	1.31164917255137	1.80285820267491	2.32225581492559	2.30736437498133	1.89586020573455	2.32190648442736	1.48476917763609	0.848414852808755	0.930198906578983	2.42055517621691	1.61336470605005	1.46513884798051	0.899706917071458	2.24302316283311	0.899706917071458	1.97636756986607	1.99204284912646	1.8128489775952	0.905362099717474	1.19671313062912	0.593200214054376	0.706560874122029	2.05540966240898	1.80172624567604	2.28524452090876	1.95793603527807	2.08578561743401	2.28524452090876	2.02233639810252	1.69738143155546	1.66739479495066	1.63325489696556	2.34085022864213	1.67898850614351	2.0720879712318	1.64201572339867	1.83213961186829	1.53365343934524	1.32381944555068
25 Posterior Inferior Temporal (BA20p)	1.84486833949596	0.877228252311286	2.32671657875438	2.33261745710328	1.8213218657786	2.01745458256108	1.80626071405884	2.11807704889783	1.86108330171683	0.950328937145976	1.73475233799108	1.56174240686561	2.27352209409723	2.58454271282431	2.43988540504861	2.55113682485036	0	1.42608099492934	2.11807704889783	1.44717210609727	2.29472185934551	1.3867477954633	2.27709861092088	1.47599447171294	2.12054341297739	1.01317617505414	2.41187112163713	2.84173852808808	2.74039682785948	0.960481124984348	2.25529065450741	1.62242969645094	2.67863226453619	0.905269666611227	2.67863226453619	2.10975774143489	1.98748374473056	2.42416594405543	2.74729161157952	2.57455781801916	2.83560950868279	2.83819061163129	2.16574924768004	1.84337948008107	2.07205915447666	2.60746439751601	1.94190548343864	2.07205915447666	2.59720782275062	2.88695172433498	2.90568664763221	2.91717633939944	0.785715642857345	2.80970842306846	2.49401721431331	2.95358350736337	2.40395126358752	2.48414917033488	2.58302503772955
26 2ary Auditory, language (BA22a)	2.12835078514757	0.899733074039602	2.4030694551267	2.47400518724361	2.24648883113354	1.83671121577781	0.835837556818472	2.34623873266579	1.56416679028839	1.15122187520545	1.57244260692495	2.16356062615408	2.46622358148008	2.54480047354319	1.79938822150171	2.47806039851684	1.42608099492934	0	2.34623873266579	0.573109415830152	2.27309147680047	1.31498278042541	2.27128930131987	0.813889376689534	1.74648253204335	1.58736310913909	2.22029467082619	2.73996908967386	2.65468656926742	0.832319847764285	2.0415865364239	1.61056312646108	2.67821695139931	0.999967830802319	2.67821695139931	1.58122026755256	1.97544314274875	1.91821522530229	2.70251975421977	2.53476471539497	2.73223547701177	2.78994571816109	2.30925010439493	1.93484628294779	2.19383523931727	2.4147034566092	1.10966059042398	2.19383523931727	2.4712562148216	2.64856236112302	2.59850952920373	2.56461566704499	1.50878429827755	2.45400130971893	2.46045049219252	2.71642340788257	1.87630591782537	2.24336829999754	2.53116556859353
27 2ary/3ary Visual Anterior (BA18/19a)	0.539286513445951	2.37935414414601	2.94642705325543	3.06823519296502	0.859716801724387	2.37984783827862	2.54252246194549	0	2.27338764956779	2.58600674159274	2.78119216140266	1.32752073294609	3.0787247149071	2.58588389205143	2.29285850591808	2.22029688913043	2.11807704889783	2.34623873266579	0	2.60916092496839	1.28525252395757	1.78686232186113	2.95883761874786	2.45202786309072	2.55152515331013	1.44505025065029	2.40889323747457	2.40371958737181	2.56689397210061	2.02740723554713	2.15411181104507	2.11227520669302	2.13482545855834	2.01475223487119	2.13482545855834	1.79373020132775	2.57845539868692	2.42570339813264	2.31221862925094	1.46657459035433	2.22635105580407	2.27025045007281	0.387933051860116	2.02740268133175	1.36116997624214	1.67311039356493	2.3699827978133	1.36116997624214	1.5915950584211	1.87689360248417	2.20374757860714	2.25025741657275	1.54976808905032	2.38809541368541	1.21043607304177	2.017619460832	2.19383467675134	1.91837226413527	1.37735999984178
28 2ary Auditory, Wernicke (BA22p)	2.39319371846651	0.848283158730352	2.35409837925674	2.39006361186124	2.51727479431752	1.86374911346853	0.85269992583768	2.60916092496839	1.59000647999979	0.956629691679239	1.41332804553109	2.39701225092811	2.36587875579895	2.52886557232647	2.0536450669269	2.50523635202139	1.44717210609727	0.573109415830152	2.60916092496839	0	2.42823362457733	1.3697912821729	2.20980909379132	0.576886411748528	1.80544198818204	1.83634866811668	2.30211576040543	2.81161131737648	2.68455440329282	1.13297864308624	2.2122104199635	1.54245188500585	2.76994233500322	0.998633041182621	2.76994233500322	1.94375965131917	1.95499052330276	2.08755797489404	2.7770505274034	2.68867309861229	2.82122755041431	2.86307055642606	2.56792463382175	2.07055791904911	2.4876224346812	2.70901184322938	1.31074732787273	2.4876224346812	2.7603200329177	2.89655479506435	2.81520057559052	2.77511374232656	1.66991057670976	2.63792439734657	2.7598076984712	2.9427575433429	2.13934143223841	2.43915703297353	2.72201392003873
